Signature,Inspired By,Best For,Core Mood,Color DNA,Type DNA,Spacing DNA,Surface DNA,Component DNA,Motion DNA,Steal This,Do Not Copy Blindly,Keywords
GitHub-like,"Primer, GitHub product UI","Docs, dev tools, dashboards, settings","Trustworthy, sober, infrastructural","Neutral palette with semantic accents only where needed","Functional sans with sharp hierarchy and code-friendly mono","Compact, systematic, rhythm over whitespace theater","Subtle borders, low shadows, clear grouping","Infrastructure-grade inputs, tabs, tables, banners","Low-key and practical","Token scales, semantic statuses, density discipline","Over-neutralizing everything until it feels dead","github-like primer-like sober developer docs settings"
Vercel-like,"Geist, Vercel marketing/product","Dev tools, launch pages, docs, product surfaces","Calm premium, sharp, modern, high-contrast","Mostly monochrome with one restrained accent family","Distinctive sans/mono pairing, crisp hero typography","Generous but exact, grid-led spacing","Flat-dark or bright-clean planes with light borders","Minimal controls, elegant shells, polished code blocks","Fast and tasteful micro-transitions","Contrast, grid framing, premium restraint","Copying black-white only without the hierarchy","vercel-like geist-like premium monochrome devtool"
Stripe-like,"Stripe marketing","B2B SaaS marketing, platform pages, launches","Premium, technical, fluid, polished","Controlled gradients plus trustworthy neutrals","Editorial headlines with polished product copy","Airy top sections, strong section pivots","Clean surfaces plus selective gradient drama","Narrative sections, product frames, proof blocks","Smooth reveal, gradient motion, premium transitions","Section sequencing, product storytelling, gradient restraint","Overusing aurora gradients everywhere","stripe-like premium marketing gradients fintech saas"
Linear-like,"Linear app UI","Productivity apps, command-heavy tools, issue trackers","Focused, sharp, compact, low-noise","Dark neutrals with disciplined accent color","Dense modern sans, compact headings, clean metadata","Compact spacing with deliberate breathing points","Thin borders, dark surfaces, subtle translucency","Command bars, lists, chips, sharp modals","Fast and nearly invisible","Density, shell clarity, command-surface feel","Making everything too tiny and low-contrast","linear-like productivity compact dark sharp command"
Notion-like,"Notion product UI","Knowledge tools, editors, docs, internal tools","Quiet, editorial, flexible, approachable","Soft neutrals, very low chroma accents","Readable editorial sans/serif support, strong content hierarchy","Relaxed content spacing, modular blocks","Almost flat surfaces, content-first framing","Blocks, slash menus, lightweight chrome","Minimal, content-preserving motion","Content-first composition, low chrome, flexible blocks","Turning quiet into bland and structureless","notion-like editorial quiet content workspace docs"
Shopify-like,"Polaris, Shopify surfaces","Commerce admin, merchant ops, onboarding","Friendly operational, productive, practical","Safe semantic palette with clear state roles","Readable sans, action-first labels, support text clarity","Dense but breathable workflow spacing","Soft surfaces, clear cards, trustworthy forms","Tables, filters, side panels, contextual actions","Helpful, obvious state transitions","Workflow ergonomics, empty states, merchant safety","Making it cute instead of operational","shopify-like polaris commerce admin workflow"
Apple-docs-like,"Apple documentation and marketing docs","Docs, SDK pages, product explainers","Refined, spacious, premium clarity","Neutral palette with subtle blue support","Elegant type with generous leading and spacing","Large whitespace, long-form readable rhythm","Flat bright surfaces with subtle separators","Content modules, callouts, media-led sections","Smooth and understated","Whitespace rhythm, content hierarchy, calm persuasion","Copying emptiness without excellent typography","apple-docs-like documentation premium whitespace"
Arc-like,"Arc browser branding/product","Expressive productivity, modern consumer tools","Playful premium, slightly experimental, soft-future","Deep neutrals with tasteful iridescent or accent glows","Modern expressive sans, bold headline moments","Balanced spacing with a few hero flourishes","Rounded surfaces, selective glow, light translucency","Panels, cards, spotlight surfaces","Fluid and noticeable but still controlled","Expressive polish, asymmetry, playful premium feel","Letting glow and blur overwhelm usability","arc-like expressive premium playful future browser"
Raycast-like,"Raycast product and app UI","Command launchers, productivity tools, desktop-like apps","Fast, focused, premium utility","Dark neutrals with precise accent restraint","Compact sans with strong utility hierarchy","Tight spacing with careful breathing around focal actions","Low-noise dark surfaces with refined layering","Command bars, compact lists, shortcuts, utility cards","Fast and almost invisible","Command surface feel, compact premium utility, keyboard-first rhythm","Turning compact into cramped or inaccessible","raycast-like launcher command palette productivity desktop"
Superhuman-like,"Superhuman product UI and brand","High-speed productivity tools, premium workflows","Fast, elite, polished, confident","Dark premium palette with selective warm or electric accents","Sharp modern sans with crisp message hierarchy","Dense but airy around key actions","Polished dark surfaces and focused panels","Inbox lists, command surfaces, training cues, premium CTAs","Snappy, confident, speed-signaling motion","High-performance productivity tone, speed as aesthetic","Over-polishing basic flows until they feel precious","superhuman-like fast elite productivity inbox premium"
Framer-like,"Framer marketing and product surfaces","Creative tools, builder products, web creation","Expressive premium, glossy but controlled, creator-focused","High-contrast neutrals plus selective gradient/color drama","Strong display headings with clean support text","Airy hero spacing with tighter product sections","Glossy surfaces, editorial framing, polished media treatment","Builder cards, templates, showcase panels, expressive CTAs","Smooth premium motion with visible flourish","Premium launch feel, creator energy, expressive polish","Using too many effects without strong content framing","framer-like creative glossy premium builder launch"
Resend-like,"Resend marketing/docs/product","Developer tools, infrastructure products, email platforms","Technical minimal, confident, clean","Monochrome or near-monochrome with one warm accent","Developer-first typography with crisp code-friendly support","Tight, deliberate, not crowded","Very clean surfaces with careful separators","Docs-marketing blend, code blocks, trust surfaces, simple forms","Subtle, low-ego motion","Developer trust, infra calmness, docs-marketing blend","Making it so minimal it loses warmth or proof","resend-like developer infra docs marketing email"
Clerk-like,"Clerk auth product and docs","Auth, onboarding, identity, developer UX","Modern, clear, productized, approachable","Modern SaaS neutrals with selective vibrant support accents","Sharp sans hierarchy with clear onboarding copy","Balanced spacing tuned for setup flows and docs","Friendly modern panels and auth surfaces","Auth cards, setup steps, code snippets, docs UI","Smooth but restrained","Onboarding clarity, setup UX, auth-specific product polish","Adding too many consumer flourishes to utilitarian flows","clerk-like auth onboarding identity developer"
