Pattern,Page Type,Best For,Structure,Why It Works,Steal From,Watch Outs,Keywords
Calm SaaS Hero,Landing,"AI tools, developer SaaS, premium B2B","Announcement bar > nav > left-heavy hero > proof strip > feature bento > CTA","Gets value proposition above the fold and establishes trust quickly","Vercel, Stripe, Tailwind Plus","Do not add 4 competing CTA styles","hero saas landing proof strip bento premium"
Developer Docs Shell,Docs,"SDKs, APIs, product docs, changelogs","Top nav > left sidebar > main content > right TOC > sticky feedback/footer","Supports scanning, deep links, and technical reading","GitHub, Vercel, Radix","Avoid narrow content with overly tiny type","docs shell toc sidebar changelog developer"
Operational Dashboard Shell,Dashboard,"Admin, analytics, internal tools, ops","Global top bar > left nav > summary KPI row > primary work area > detail rail/drawer","Separates orientation, monitoring, and action","Shopify, GitHub, Linear","Do not over-card every metric equally","dashboard admin analytics shell kpi drawer"
Command Workspace Shell,App,"Productivity tools, issue trackers, note apps","Minimal top bar > focused content list/grid > omnipresent command/search entry > detail panel","Keeps chrome low and action speed high","Linear, Notion, Raycast","Low chrome still needs explicit hierarchy","command workspace productivity shell linear-like"
Story-led Product Page,Marketing,"Platform launches, narrative product explainers","Hero > tension/problem > feature narrative sections > proof > CTA","Lets the product feel inevitable, not just listed","Stripe, Apple","Do not repeat the same screenshot section five times","storytelling product page narrative launch"
Merchant Settings Shell,App,"Commerce, SaaS settings, billing, permissions","Section header > grouped forms/cards > contextual help rail > sticky save bar","Reduces anxiety in high-stakes settings areas","Polaris, USWDS","Needs very clear validation and state messaging","settings shell forms billing permissions sticky save"
Bento Feature Grid,Landing,"AI, infra, tools, startup sites","Hero > asymmetrical feature grid > demo strip > CTA","Compresses multiple value props into a scan-friendly block","Tailwind Plus, Vercel","Bento without hierarchy turns into pretty noise","bento feature grid asymmetrical landing"
Trust-heavy Form Funnel,Conversion,"Enterprise demo, gov services, insurance, onboarding","Hero copy > trust badges > short form > reassurance notes > FAQ","Moves user into form with lower perceived risk","USWDS, enterprise landing patterns","Never hide requirements or error states","form funnel trust onboarding conversion"
AI Answer Shell,App,"AI search, copilots, answer products, research tools","Minimal top bar > central prompt area > answer stream > source chips > follow-up actions","Keeps user attention on the answer while preserving context and trust","Perplexity, ChatGPT-style answer products","Do not let decorative chrome compete with content","ai answer shell sources follow-up prompt research"
Auth Setup Shell,App,"Auth, onboarding, identity products, SaaS setup","Headline/context > setup steps > code/config panel > success state/help links","Reduces onboarding anxiety and keeps implementation steps obvious","Clerk, developer onboarding products","Do not bury key setup actions under tabs","auth setup shell onboarding steps success docs"
Creative Builder Launch Page,Marketing,"Design tools, site builders, creator products","Bold hero > visual showcase > template/use-case gallery > social proof > CTA","Sells aspiration and capability together","Framer, modern creative-tool launches","Needs strong media hierarchy or it becomes glossy mush","creative builder launch showcase gallery creator"
Command Palette Product Shell,App,"Launchers, productivity, keyboard-first apps","Low-chrome shell > omnipresent command entry > results list > preview/details panel","Makes speed and focus feel native to the product","Raycast, Superhuman, Linear","Never sacrifice readability just to look compact","command palette shell launcher keyboard first"
Knowledge Feed Shell,App,"Research tools, note apps, answer engines, docs workspaces","Top utility bar > main reading/feed column > contextual side rail > saved/history utilities","Balances reading flow with quick context access","Notion, Perplexity, developer knowledge tools","Too many side widgets will break reading flow","knowledge feed shell reading side rail history"
Native-feel Settings Shell,App,"Consumer settings, profile, device/account preferences","Sectioned list groups > inline descriptions > sticky detail or modal sheet","Feels familiar and lowers cognitive load for settings tasks","Apple, Fluent, product settings apps","Do not over-card simple settings rows","native feel settings shell preferences profile"
