System,Company,Product Focus,Vibe,Token DNA,Spacing Rhythm,Typography DNA,Surface Treatment,Component DNA,Motion DNA,Strengths,Steal Carefully,Avoid When,Reference URL
Primer,GitHub,"Developer platform, docs, product UI","Sober, crisp, industrial, trustworthy","Neutral tokens, semantic scales, strong primitives, dark/light parity","Compact-to-regular, systematic increments, utility-first consistency","Functional sans, clear hierarchy, code-friendly support","Low-noise surfaces, subtle borders, restrained shadows","Buttons/inputs/cards feel infrastructural rather than decorative","Subtle, practical, low-drama transitions","Excellent foundations, accessibility, scale, governance","Token discipline, information density, primitive layering, icon consistency","You need playful, expressive, campaign-style marketing pages",https://primer.style/
Geist,Vercel,"Developer tools, docs, product marketing","Calm premium, monochrome, high-contrast, modern","High-contrast semantic tokens, black/white led, accent restraint","Generous but precise, grid-led cadence","Geist Sans/Mono pairing, sharp developer voice","Clean planes, thin borders, quiet depth","Components feel polished but minimal, fast to scan","Fast, tasteful, low-latency micro-motion","Beautiful dev-tool aesthetic, modern polish, readable docs","Grid feel, contrast discipline, type hierarchy, premium restraint","You need playful mass-market consumer energy",https://vercel.com/geist/introduction
Polaris,Shopify,"Merchant workflows, admin, operations","Friendly enterprise, productive, practical","Merchant-safe semantic tokens, state-rich system","Dense but breathable, task-oriented spacing","Functional commerce typography, clarity over flair","Soft surfaces, reliable contrast, utility-led treatment","Forms, tables, filters, navigation optimized for long sessions","Helpful motion, visible state changes, minimal spectacle","Operational clarity, dense workflows, onboarding consistency","Workflow ergonomics, state patterns, table/form behavior","You need edgy brand-heavy creative direction",https://polaris.shopify.com/
USWDS,U.S. Web Design System,"Public-sector services, forms, accessibility","Plainspoken, inclusive, dependable","Token-first, accessible color system, utility discipline","Comfortable, mobile-friendly, content-first rhythm","Readable government-grade hierarchy","Minimal decoration, clear boundaries, strong defaults","Components built for clarity, forms, alerts, navigation","Reduced, respectful motion","Excellent accessibility and pattern guidance","Pattern guidance, content structure, mobile resilience, form usability","You want luxurious or highly expressive brand feel",https://designsystem.digital.gov/
Radix Themes,Radix UI,"Product apps, dashboards, internal tools","Neutral, maintainable, accessibility-first","Theme tokens and primitive-driven architecture","Balanced, predictable, implementation-friendly","Systematic typography, UI-first hierarchy","Quiet surfaces with strong state clarity","Composable accessible primitives, stable interaction model","Minimal but polished motion tied to interaction states","Fast implementation, low drift, maintainable scale","Primitive architecture, interaction states, accessible composition","You want distinct brand character out of the box",https://www.radix-ui.com/
shadcn/ui,shadcn,"Modern app UI, starter systems, custom product UI","Open-code, modern, customizable, founder-friendly","Token-ready, code-owned, easy to fork","Depends on adopter; usually balanced modern spacing","Usually Inter-like modern sans with practical hierarchy","Default modern SaaS surfaces, easy to restyle","Component recipes you own and mutate","Minimal default motion; motion is yours to define","Open code, speed, ownership, easy customization","Ownership model, copy-and-own workflow, pragmatic defaults","You need strong taste without adding your own design direction",https://ui.shadcn.com/
Tailwind Plus,Tailwind Labs,"Marketing sites, SaaS landing pages, app shells","Polished, conversion-aware, modern web","Utility-led tokenization, section-level repeatability","Strong section rhythm, padding discipline, reliable responsiveness","Modern sans hierarchy with marketing clarity","Clean surfaces, selective gradient/shadow usage","Section patterns, nav/hero/pricing/testimonial structures","Tasteful hover and reveal motion, pattern-driven","Fast composition for marketing pages","Section sequencing, responsive composition, CTA structure","You blindly paste patterns without unifying tokens/taste",https://tailwindcss.com/plus/ui-blocks
Material 3,Google,"Apps, cross-platform systems, adaptive UI","Systematic, adaptive, approachable","Algorithmic color roles, semantic elevation, state layers","Comfortable, touch-friendly, component-standardized","Highly structured type scale","Layered surfaces with elevation/state overlays","Rich component system for app flows","Predictable state-driven motion","Excellent breadth, adaptive tokens, platform guidance","State layers, touch ergonomics, comprehensive tokens","You want boutique brand distinctiveness over universal patterns",https://m3.material.io/
Atlassian Design System,Atlassian,"Enterprise collaboration products, complex workflows","Structured, collaborative, product-heavy, practical","Enterprise semantic tokens, solid state communication, scale-ready components","Moderate density with strong task grouping","Readable product sans with strong UI labels and support copy","Clear layers, friendly panels, strong navigation treatment","Tables, boards, forms, nav, and productivity surfaces tuned for team workflows","Functional, visible, teamwork-oriented transitions","Complex workflow support, enterprise consistency, component breadth","Information architecture, team-workflow clarity, state communication","You want ultra-minimal boutique aesthetics",https://atlassian.design/
Ant Design,Ant Group,"Enterprise apps, dashboards, admin systems","Dense enterprise, systematic, utility-heavy","Comprehensive semantic token model with strong component coverage","Compact density with configurable spacing","Functional enterprise typography with clear label/data distinction","Layered surfaces and obvious component boundaries","Data tables, forms, filters, navs, and enterprise widgets at scale","State-rich but straightforward motion","Broad enterprise coverage, admin maturity, consistent forms/tables","Dense admin ergonomics, form/table systemization, enterprise states","You want warm editorial minimalism or strong brand storytelling",https://ant.design/
Carbon,IBM,"Enterprise software, data-heavy products, system tools","Industrial, rigorous, precise, accessibility-conscious","Tokenized design language with deep state semantics and multi-theme support","Tight and systematic, optimized for complex interfaces","Structured typography with strong information hierarchy","Measured surfaces, clear divisions, low-noise depth","Enterprise components for dense workflows, data, and structured interactions","Deliberate, subtle, functional motion","Great for serious data products and enterprise rigor","Density control, serious tone, accessibility discipline","You need playful consumer warmth or soft-future expressiveness",https://carbondesignsystem.com/
Fluent,Microsoft,"Productivity apps, enterprise suites, desktop-web ecosystems","Familiar, productive, adaptive, modern enterprise","Systematic tokens, platform-adaptive color and depth rules","Balanced spacing that works across desktop-heavy patterns","Clear product typography with practical scaling","Soft depth, layered panels, adaptive surfaces","Enterprise productivity components, nav systems, dialogs, and workspace patterns","Smooth but conservative transitions","Good for cross-platform productivity and office-like environments","Adaptive workspace patterns, desktop-first productivity ergonomics","You want niche boutique product personality",https://fluent2.microsoft.design/
